TAIR Accession	Locus	Gene Type	Description	Other Name(Type)	Keywords
Locus:2122199	AT4G36140	protein_coding	Intracellular immune receptor; in a head-to-head configuration with SADR1 similar to the sensor/executor TNL pair RRS1?RPS4; wowever, CRISPR-derived SADR1-P1 loss-of-function allele sadr1-p1-c1 (c.247_332del) did not modify ADR1-L2 DV autoactivity therefore indicating that the genomically paired TNL SADR1 is required for the ADR1-L2 DV activation mimic phenotype.	SADR1-PAIRED 1	chloroplast;cytoplasm;LP.06 six leaves visible stage;LP.10 ten leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;plant embryo;pollen;root;seed;sepal;shoot apex;stamen;stem;vascular leaf,
Locus:2151466	AT5G46510	protein_coding	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)	VARIATION IN COMPOUND TRIGGERED ROOT GROWTH RESPONSE-LIKE;VICTL	cytoplasm;cytosol;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2152536	AT5G48620	protein_coding	Disease resistance protein (CC-NBS-LRR class) family;(source:Araport11)	N/A	defense response to other organism;cellular_component;cultured plant cell;guard cell,
Locus:2153072	AT5G51630	protein_coding	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)	N/A	cytoplasm;flowering stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;carpel;collective leaf structure;flower;guard cell;hypocotyl;plant embryo;root;seed;stamen;stem,
Locus:2153222	AT5G45090	protein_coding	phloem protein 2-A7;(source:Araport11)	AtPP2-A7;PP2-A7;Phloem protein 2-A7;phloem protein 2-A7	defense response;signal transduction;nucleus;chloroplast;nucleus;carbohydrate binding;flowering stage;mature plant embryo stage;vascular leaf senescent stage;hypocotyl;plant sperm cell;root;seed;stamen;stem;vascular leaf,
Locus:2153338	AT5G45240	protein_coding	Disease resistance protein (TIR-NBS-LRR class);(source:Araport11)	N/A	cytoplasm,
Locus:2155322	AT5G44870	protein_coding	Encodes LAZ5; a TIR-class NB-LRR R protein of unknown pathogen specificity with sequence similarity to RPS4, an R protein conferring resistance to Pseudomonas syringae expressing the effector AvrRPS4.  Overexpression of LAZ5 results in hypersensitive cell death (plants did not survive to set seeds).	LAZ5;LAZARUS 5;TOLERANCE TO TOBACCO RINGSPOT VIRUS 1;TTR1	defense response to virus;plant-type hypersensitive response;response to virus;cytoplasm;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;endosperm;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2156579	AT5G48770	protein_coding	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)	N/A	cellular_component;guard cell,
Locus:2160472	AT5G41540	protein_coding	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)	N/A	cytoplasm;cytosol;rosette leaf,
Locus:2163588	AT5G45510	protein_coding	Leucine-rich repeat (LRR) family protein;(source:Araport11)	N/A	nucleus;plasma membrane;plastid;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2167457	AT5G36930	protein_coding	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)	N/A	defense response;signal transduction;cytoplasm;ADP binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2171479	AT5G47280	protein_coding	NLR (nucleotide-binding and leucine-rich repeat) gene; together with AT5G47260 controls broad-spectrum quantitative partial resistance to the root pathogen P. brassicae. Both genes are epigenetically regulated.	ADR1-L3;ADR1-like 3	cellular_component,
Locus:2171589	AT5G47260	protein_coding	NLR (nucleotide-binding and leucine-rich repeat) gene; together with AT5G47280 controls broad-spectrum quantitative partial resistance to the root pathogen P. brassicae. Both genes are epigenetically regulated.	N/A	defense response to other organism;mitochondrion,
Locus:2151506	AT5G46470	protein_coding	Encodes RPS6 (RESISTANT TO P. SYRINGAE 6); a member of the TIR-NBS-LRR class resistance protein.	RESISTANT TO P. SYRINGAE 6;RPS6	defense response to bacterium;cellular_component;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2153217	AT5G45080	protein_coding	phloem protein 2-A6;(source:Araport11)	AtPP2-A6;PP2-A6;Phloem protein 2-A6;phloem protein 2-A6	defense response;signal transduction;nucleus;cytoplasm;carbohydrate binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;vascular leaf senescent stage;collective leaf structure;flower;guard cell;petiole;plant embryo;plant sperm cell;root;stamen;stem;vascular leaf,
Locus:2155347	AT5G45050	protein_coding	Encodes a member of the WRKY Transcription Factor (Group II-e) family.	ATWRKY16;WRKY16	defense response to bacterium;innate immune response-activating signaling pathway;nucleus;plant-type vacuole;DNA-binding transcription factor activity;protein binding;transcription cis-regulatory region binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2155372	AT5G44910	protein_coding	Toll-Interleukin-Resistance (TIR) domain family protein;(source:Araport11)	N/A	defense response;signal transduction;nucleus;cytoplasm;molecular_function;endosperm;guard cell;hypocotyl;root,
Locus:2156494	AT5G48780	protein_coding	disease resistance protein (TIR-NBS class);(source:Araport11)	TIR-NBS20;TN20	chloroplast;L mature pollen stage;M germinated pollen stage;flowering stage;flower;pollen;pollen tube cell;root;stem,
Locus:2163426	AT5G44510	protein_coding	Encodes TAO1 (Target of AvrB Operation); a TIR-NB-LRR protein that contributes to disease resistance induced by the Pseudomonas syringae effector AvrB.	TAO1;TARGET OF AVRB OPERATION1	defense response to bacterium;defense response to bacterium;chloroplast;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;carpel;collective leaf structure;flower;flower pedicel;guard cell;hypocotyl;petal;plant embryo;plant sperm cell;root;seed;sepal;shoot apex;stamen;stem,
Locus:2163498	AT5G45440	protein_coding	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)	N/A	nucleus,
Locus:2169523	AT5G35450	protein_coding	Disease resistance protein (CC-NBS-LRR class) family;(source:Araport11)	N/A	defense response to other organism;cellular_component;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo bilateral stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2171579	AT5G47250	protein_coding	LRR and NB-ARC domains-containing disease resistance protein;(source:Araport11)	N/A	defense response to other organism;cytosol;mitochondrion;LP.02 two leaves visible stage;LP.06 six leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;cauline leaf;collective leaf structure;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petiole;plant embryo;root;rosette leaf;seed;sepal;shoot apex;shoot system;stem;vascular leaf,
Locus:2170338	AT5G17890	protein_coding	Encodes a protein that appears to be involved in defense responses. Contains TIR; NB-LRR and LIM domains. A gain of function allele exhibits cold dependent phenotypes including apparent activation of defense responses and an increased freezing tolerance.	CHILLING SENSITIVE 3;CHS3;DA1-RELATED PROTEIN 4;DAR4	defense response;response to cold;cytoplasm;ubiquitin binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.10 ten leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2170892	AT5G43730	protein_coding	Disease resistance protein (CC-NBS-LRR class) family;(source:Araport11)	RESISTANCE SILENCED GENE 2;RSG2	defense response to other organism;cellular_component;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.10 ten leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;carpel;collective leaf structure;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2170902	AT5G43740	protein_coding	Disease resistance protein (CC-NBS-LRR class) family;(source:Araport11)	N/A	defense response to other organism;cellular_component;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2153474	AT5G05400	protein_coding	LRR and NB-ARC domains-containing disease resistance protein;(source:Araport11)	N/A	defense response to other organism;nucleus;guard cell;root;root hair cell;stem;trichoblast,
Locus:2146253	AT5G18370	protein_coding	Leucine-rich repeat domain (NLR) receptor. Dominant negative alleles suppress catma3 autoimmunity.	DOMINANT SUPRESSOR OF CAMTA3 NUMBER 2;DSC2	defense response;defense response to bacterium;cytoplasm;protein binding;flowering stage;petal differentiation and expansion stage;flower;guard cell;hypocotyl;inflorescence meristem;stamen;stem,
Locus:2170333	AT5G17880	protein_coding	Encodes a TIR-NBS-LRR protein CSA1 that functions in photomorphogenic development.  csa1 mutants display a constitutive shade-avoidance (CSA) phenotype (long stem) under high red:far-red rations (i.e. in the absence of a shade signal).  csa1 mutation can be complemented by RPS4; a TIR-NBS-LRR protein that confers resistance against bacterium Pseudomonas syringae.	CSA1;constitutive shade-avoidance1	defense response to bacterium;response to light stimulus;response to red light;cytoplasm;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2175991	AT5G17680	protein_coding	disease resistance protein (TIR-NBS-LRR class);(source:Araport11)	N/A	chloroplast;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;carpel;collective leaf structure;flower;flower pedicel;hypocotyl;inflorescence meristem;petal;plant embryo;root;seed;sepal;shoot apex;stamen;stem,
Locus:2174900	AT5G40060	protein_coding	Disease resistance protein (NBS-LRR class) family;(source:Araport11)	N/A	chloroplast;cytoplasm;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
